,VDD,VSS,IIN1,IOUT1,PM1,PM1_D,PM1_G,PM1_S,PM1_B,PM2,PM2_D,PM2_G,PM2_S,PM2_B
VDD,0,0,0,0,0,0,1,0,0,0,0,1,0,0
VSS,0,0,0,0,0,1,0,0,0,0,1,0,0,0
IIN1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
IOUT1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PM1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
PM1_D,0,1,0,0,1,0,0,0,0,0,0,0,0,0
PM1_G,1,0,0,0,1,0,0,0,0,0,0,0,0,0
PM1_S,0,0,0,1,1,0,0,0,0,0,0,0,0,0
PM1_B,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PM2,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PM2_D,0,1,0,0,0,0,0,0,0,1,0,0,0,0
PM2_G,1,0,0,0,0,0,0,0,0,1,0,0,0,0
PM2_S,0,0,1,0,0,0,0,0,0,1,0,0,0,0
PM2_B,0,0,1,0,0,0,0,0,0,1,0,0,0,0
