,VSS,IIN1,IOUT1,IB1,NM1,NM1_D,NM1_G,NM1_S,NM1_B,NM2,NM2_D,NM2_G,NM2_S,NM2_B,PNP1,PNP1_C,PNP1_B,PNP1_E
VSS,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0
IIN1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
IOUT1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IB1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
NM1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
NM1_D,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1_G,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1_S,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1_B,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM2_D,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NM2_G,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NM2_S,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NM2_B,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PNP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
PNP1_C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PNP1_B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PNP1_E,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
