,VDD,VSS,VIN1,VOUT1,VB1,NPN1,NPN1_C,NPN1_B,NPN1_E,L1,L1_P,L1_N,L2,L2_P,L2_N,C1,C1_P,C1_N,C2,C2_P,C2_N
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VOUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VB1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NPN1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NPN1_C,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
NPN1_B,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
NPN1_E,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
L1_P,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
L1_N,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
L2_P,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
L2_N,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
C1_P,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
C1_N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
C2_P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C2_N,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
