,VDD,VSS,VIN1,VOUT1,PM1,PM1_D,PM1_G,PM1_S,PM1_B,NM1,NM1_D,NM1_G,NM1_S,NM1_B,R1,R1_P,R1_N,R2,R2_P,R2_N
VDD,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
VIN1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PM1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
PM1_D,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM1_G,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM1_S,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM1_B,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
NM1_D,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NM1_G,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NM1_S,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
NM1_B,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
R1_P,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
R1_N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R2_P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R2_N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
