,VDD,VSS,VIN1,VOUT1,NM1,NM1_D,NM1_G,NM1_S,NM1_B,R1,R1_P,R1_N,R2,R2_P,R2_N,R3,R3_P,R3_N
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VSS,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
NM1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
NM1_D,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1_G,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
NM1_S,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1_B,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
R1_P,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R1_N,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
R2_P,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
R2_N,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R3_P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R3_N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
