,VDD,VSS,VIN1,VOUT1,C1,C1_P,C1_N,C2,C2_P,C2_N,R1,R1_P,R1_N,R2,R2_P,R2_N,NM1,NM1_D,NM1_G,NM1_S,NM1_B
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VSS,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
VIN1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
VOUT1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
C1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1_P,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C1_N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
C2_P,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C2_N,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
R1_P,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R1_N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
R2_P,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
R2_N,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NM1_D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM1_G,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
NM1_S,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM1_B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
