,VDD,VSS,VIN1,VOUT1,VB1,IB1,NM1,NM1_D,NM1_G,NM1_S,NM1_B,C1,C1_P,C1_N,R1,R1_P,R1_N
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VSS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VOUT1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
VB1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IB1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
NM1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
NM1_D,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
NM1_G,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
NM1_S,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
NM1_B,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
C1_P,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
C1_N,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R1_P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R1_N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
