,VDD,VSS,VIN1,VOUT1,VB1,R1,R1_P,R1_N,PM1,PM1_D,PM1_G,PM1_S,PM1_B,PM2,PM2_D,PM2_G,PM2_S,PM2_B
VDD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
VSS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
R1_P,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R1_N,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PM1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
PM1_D,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PM1_G,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PM1_S,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PM1_B,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
PM2_D,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PM2_G,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
PM2_S,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
PM2_B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
