,VDD,VSS,VIN1,VOUT1,VB1,R1,R1_P,R1_N,NM1,NM1_D,NM1_G,NM1_S,NM1_B,NM2,NM2_D,NM2_G,NM2_S,NM2_B
VDD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
VIN1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
R1_P,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R1_N,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
NM1_D,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
NM1_G,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NM1_S,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NM1_B,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NM2_D,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM2_G,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
NM2_S,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
NM2_B,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
