,VDD,VSS,VOUT1,VOUT2,R1,R1_P,R1_N,R2,R2_P,R2_N,R3,R3_P,R3_N,NPN1,NPN1_C,NPN1_B,NPN1_E,NPN2,NPN2_C,NPN2_B,NPN2_E
VDD,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
VOUT1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
VOUT2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1_P,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1_N,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
R2_P,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R2_N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
R3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
R3_P,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R3_N,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NPN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
NPN1_C,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
NPN1_B,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
NPN1_E,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NPN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
NPN2_C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NPN2_B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NPN2_E,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
