,VSS,VIN1,VCONT1,C1,C1_P,C1_N,C2,C2_P,C2_N,R1,R1_P,R1_N,R2,R2_P,R2_N
VSS,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
VCONT1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
C1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
C1_P,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
C1_N,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
C2_P,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
C2_N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
R1_P,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
R1_N,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R2_P,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
R2_N,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
