,VDD,VSS,VIN1,R1,R1_P,R1_N,L1,L1_P,L1_N,NM1,NM1_D,NM1_G,NM1_S,NM1_B,C1,C1_P,C1_N
VDD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
R1_P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
R1_N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
L1_P,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1_N,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
NM1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
NM1_D,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
NM1_G,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM1_S,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM1_B,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
C1_P,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
C1_N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
