,VSS,IOUT1,IB1,NPN1,NPN1_C,NPN1_B,NPN1_E,NPN2,NPN2_C,NPN2_B,NPN2_E,NPN3,NPN3_C,NPN3_B,NPN3_E
VSS,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IB1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NPN1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
NPN1_C,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
NPN1_B,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
NPN1_E,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NPN2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
NPN2_C,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
NPN2_B,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
NPN2_E,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NPN3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
NPN3_C,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NPN3_B,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
NPN3_E,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
