,VSS,VIN1,VIN2,IOUT1,IOUT2,R1,R1_P,R1_N,NPN1,NPN1_C,NPN1_B,NPN1_E,NPN2,NPN2_C,NPN2_B,NPN2_E
VSS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VIN2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IOUT2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
R1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
R1_P,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
R1_N,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NPN1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
NPN1_C,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NPN1_B,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
NPN1_E,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
NPN2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
NPN2_C,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
NPN2_B,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NPN2_E,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
