,VSS,VIN1,VIN2,IOUT1,IOUT2,IB1,NM1,NM1_D,NM1_G,NM1_S,NM1_B,NM2,NM2_D,NM2_G,NM2_S,NM2_B
VSS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VIN2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IOUT2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IB1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NM1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
NM1_D,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NM1_G,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
NM1_S,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NM1_B,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NM2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NM2_D,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
NM2_G,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM2_S,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
NM2_B,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
