,VDD,VSS,IOUT1,NPN1,NPN1_C,NPN1_B,NPN1_E,NPN2,NPN2_C,NPN2_B,NPN2_E,R1,R1_P,R1_N,R2,R2_P,R2_N
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VSS,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
IOUT1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NPN1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
NPN1_C,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN1_B,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
NPN1_E,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
NPN2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
NPN2_C,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
NPN2_B,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
NPN2_E,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
R1_P,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
R1_N,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R2_P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R2_N,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
