,VSS,VIN1,IOUT1,IOUT2,VB1,NM1,NM1_D,NM1_G,NM1_S,NM1_B,NM2,NM2_D,NM2_G,NM2_S,NM2_B,NM3,NM3_D,NM3_G,NM3_S,NM3_B
VSS,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IOUT2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NM1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
NM1_D,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1_G,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NM1_S,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1_B,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
NM2_D,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
NM2_G,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NM2_S,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NM2_B,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NM3_D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM3_G,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NM3_S,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
NM3_B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
