,VDD,VSS,VIN1,VOUT1,IB1,NPN1,NPN1_C,NPN1_B,NPN1_E,PNP1,PNP1_C,PNP1_B,PNP1_E,PNP2,PNP2_C,PNP2_B,PNP2_E
VDD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
VSS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
IB1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
NPN1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
NPN1_C,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NPN1_B,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NPN1_E,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PNP1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
PNP1_C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
PNP1_B,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
PNP1_E,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PNP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
PNP2_C,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
PNP2_B,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
PNP2_E,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
