,VDD,VSS,VB1,VCM1,R1,R1_P,R1_N,NPN1,NPN1_C,NPN1_B,NPN1_E,PNP1,PNP1_C,PNP1_B,PNP1_E
VDD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VB1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
VCM1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
R1_P,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
R1_N,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
NPN1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
NPN1_C,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NPN1_B,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
NPN1_E,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
PNP1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
PNP1_C,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
PNP1_B,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
PNP1_E,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
