,VDD,VSS,VREF1,R1,R1_P,R1_N,R2,R2_P,R2_N,R3,R3_P,R3_N,PNP1,PNP1_C,PNP1_B,PNP1_E
VDD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VSS,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
VREF1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
R1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
R1_P,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
R1_N,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
R2_P,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
R2_N,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
R3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
R3_P,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
R3_N,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
PNP1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
PNP1_C,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PNP1_B,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
PNP1_E,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
