nohup: ignoring input
Devices sample: ['NM1', 'NM1_D', 'NM1_G', 'NM1_S', 'NM1_B'] ... ['CIRCUIT_LNA', 'CIRCUIT_Mixer', 'CIRCUIT_LDO', 'CIRCUIT_Bandgap_Ref', 'CIRCUIT_Single_Stage_Amp', 'CIRCUIT_Power_Amp', 'CIRCUIT_Voltage_Regulator', 'CIRCUIT_Filter', 'CIRCUIT_Switched_Cap', 'CIRCUIT_General']
Vocab size: 1020
Visible GPUs: 2
Primary device: cuda:0
Loading training data...
Training npy shape: (192835, 1025) dtype: object
Loading validation data...
Validation npy shape: (21207, 1025) dtype: object
Train tensor shape: (192835, 1025)
Val   tensor shape: (21207, 1025)
Using 2 GPUs via DataParallel (all visible).
11.8M parameters
/home/seungmin.kim/.conda/envs/AnalogGenie/lib/python3.8/site-packages/torch/nn/parallel/_functions.py:68: UserWarning: Was asked to gather along dimension 0, but all input tensors were scalars; will instead unsqueeze and return a vector.
  warnings.warn('Was asked to gather along dimension 0, but all '
step 0: train 7.1841/7.0401, val 7.1848/7.0384
step 500: train 0.5087/1.8830, val 0.6180/2.2297
step 1000: train 0.3110/1.1541, val 0.4588/1.6540
step 1500: train 0.2133/0.7890, val 0.3999/1.4543
step 2000: train 0.1563/0.5771, val 0.3841/1.3811
step 2500: train 0.1168/0.4341, val 0.3756/1.3577
step 3000: train 0.0912/0.3382, val 0.3619/1.3132
step 3500: train 0.0753/0.2788, val 0.3688/1.3355
step 4000: train 0.0648/0.2402, val 0.3734/1.3471
step 4500: train 0.0571/0.2110, val 0.3676/1.3218
step 5000: train 0.0518/0.1912, val 0.3723/1.3436
step 5500: train 0.0469/0.1738, val 0.3692/1.3310
step 6000: train 0.0429/0.1587, val 0.3682/1.3344
step 6500: train 0.0402/0.1477, val 0.3604/1.2949
step 7000: train 0.0372/0.1385, val 0.3664/1.3195
step 7500: train 0.0350/0.1299, val 0.3620/1.3115
step 8000: train 0.0326/0.1205, val 0.3518/1.2686
step 8500: train 0.0309/0.1136, val 0.3559/1.2846
step 9000: train 0.0298/0.1110, val 0.3567/1.2822
step 9500: train 0.0286/0.1066, val 0.3580/1.2897
step 10000: train 0.0271/0.1000, val 0.3495/1.2624
step 10500: train 0.0257/0.0955, val 0.3418/1.2403
step 11000: train 0.0249/0.0926, val 0.3493/1.2555
step 11500: train 0.0243/0.0899, val 0.3407/1.2277
step 12000: train 0.0236/0.0884, val 0.3425/1.2387
step 12500: train 0.0229/0.0853, val 0.3339/1.2058
step 13000: train 0.0222/0.0824, val 0.3423/1.2291
step 13500: train 0.0214/0.0792, val 0.3327/1.1970
step 14000: train 0.0212/0.0793, val 0.3422/1.2307
step 14500: train 0.0206/0.0765, val 0.3357/1.2143
step 15000: train 0.0199/0.0736, val 0.3348/1.2184
step 15500: train 0.0199/0.0737, val 0.3375/1.2135
step 16000: train 0.0192/0.0707, val 0.3364/1.2134
step 16500: train 0.0192/0.0715, val 0.3352/1.2129
step 17000: train 0.0187/0.0694, val 0.3275/1.1941
